model,case_id,noise_label,repeat,level_consistency,all_levels_same,l1_judgment,l2_judgment,l3_judgment
gpt-4o,C003,ambient_noise,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C003,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,ambient_noise,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,emotional_pressure,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,lighting,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,none,0,1.0,True,cannot_pass,cannot_pass,cannot_pass
gpt-4o,C003,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C003,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,ambient_noise,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,emotional_pressure,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,lighting,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C004,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C005,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C005,ambient_noise,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C005,ambient_noise,2,0.3333333333333333,False,uncertain,can_pass,can_pass
gpt-4o,C005,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C005,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C005,emotional_pressure,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C005,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C005,lighting,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C005,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C005,material_color,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C005,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C005,material_color,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C005,none,0,0.3333333333333333,False,uncertain,cannot_pass,uncertain
gpt-4o,C005,none,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C005,none,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C006,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C006,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C006,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C006,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C006,none,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C007,ambient_noise,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C007,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C007,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C007,emotional_pressure,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C007,emotional_pressure,1,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C007,emotional_pressure,2,1.0,True,can_pass,can_pass,can_pass
gpt-4o,C007,lighting,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C007,lighting,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C007,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C007,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C007,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C007,material_color,2,1.0,True,can_pass,can_pass,can_pass
gpt-4o,C007,none,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C007,none,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C007,none,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C008,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,ambient_noise,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,emotional_pressure,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,lighting,0,1.0,True,cannot_pass,cannot_pass,cannot_pass
gpt-4o,C008,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,lighting,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C008,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C009,ambient_noise,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,ambient_noise,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,ambient_noise,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,emotional_pressure,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,emotional_pressure,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,emotional_pressure,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,lighting,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,lighting,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,lighting,2,0.3333333333333333,False,cannot_pass,cannot_pass,can_pass
gpt-4o,C009,material_color,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,material_color,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,material_color,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C009,none,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C009,none,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C010,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C010,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C010,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,lighting,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C010,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C010,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,material_color,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C010,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C010,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C011,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C011,ambient_noise,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C011,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C011,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C011,emotional_pressure,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C011,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C011,lighting,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C011,lighting,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C011,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C011,material_color,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C011,material_color,1,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C011,material_color,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C011,none,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C011,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C011,none,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C012,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,ambient_noise,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,emotional_pressure,0,1.0,True,cannot_pass,cannot_pass,cannot_pass
gpt-4o,C012,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,emotional_pressure,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,lighting,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C012,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C013,ambient_noise,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C013,ambient_noise,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C013,ambient_noise,2,0.3333333333333333,False,can_pass,can_pass,cannot_pass
gpt-4o,C013,emotional_pressure,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C013,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,uncertain
gpt-4o,C013,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C013,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C013,lighting,1,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C013,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C013,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C013,material_color,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C013,material_color,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C013,none,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C013,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C013,none,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C014,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C014,ambient_noise,1,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C014,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C014,emotional_pressure,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C014,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C014,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C014,lighting,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C014,lighting,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C014,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C014,material_color,0,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C014,material_color,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C014,material_color,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C014,none,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C014,none,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C014,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C015,ambient_noise,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C015,ambient_noise,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C015,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C015,emotional_pressure,0,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C015,emotional_pressure,1,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C015,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C015,lighting,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C015,lighting,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C015,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,can_pass
gpt-4o,C015,material_color,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C015,material_color,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C015,material_color,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C015,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C015,none,1,0.3333333333333333,False,uncertain,can_pass,can_pass
gpt-4o,C015,none,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C016,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,ambient_noise,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,emotional_pressure,2,1.0,True,cannot_pass,cannot_pass,cannot_pass
gpt-4o,C016,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,lighting,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C016,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C017,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C017,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,lighting,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C017,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C017,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,material_color,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C017,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C017,none,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C018,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,ambient_noise,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,emotional_pressure,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C018,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,emotional_pressure,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,lighting,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,lighting,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,material_color,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C018,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C019,ambient_noise,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,ambient_noise,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,ambient_noise,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,emotional_pressure,0,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,emotional_pressure,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,emotional_pressure,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,lighting,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C019,lighting,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,lighting,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C019,material_color,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,material_color,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,none,0,0.0,False,uncertain,can_pass,cannot_pass
gpt-4o,C019,none,1,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C019,none,2,0.0,False,uncertain,cannot_pass,can_pass
gpt-4o,C020,ambient_noise,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C020,ambient_noise,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C020,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C020,emotional_pressure,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C020,emotional_pressure,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C020,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C020,lighting,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C020,lighting,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C020,lighting,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C020,material_color,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C020,material_color,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C020,material_color,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o,C020,none,0,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C020,none,1,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o,C020,none,2,0.3333333333333333,False,uncertain,cannot_pass,cannot_pass
gpt-4o-mini,C001,ambient_noise,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o-mini,C001,ambient_noise,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o-mini,C001,ambient_noise,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o-mini,C001,emotional_pressure,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o-mini,C001,emotional_pressure,1,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o-mini,C001,emotional_pressure,2,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
gpt-4o-mini,C001,lighting,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
