model,case_id,strategy,level,noise_label,reference_judgment,repeats,distinct_judgments,judgment_signature,prompt_uid
claude-opus-4-6,C002,baseline,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",baseline__C002_L1_lighting
claude-opus-4-6,C002,constraint_boundary_solver,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C002_L1_ambient_noise
claude-opus-4-6,C002,constraint_boundary_solver,L1,emotional_pressure,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C002_L1_emotional_pressure
claude-opus-4-6,C002,constraint_boundary_solver,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C002_L1_lighting
claude-opus-4-6,C002,dimensionless_ratio_design,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'uncertain', 'uncertain')",dimensionless_ratio_design__C002_L1_ambient_noise
claude-opus-4-6,C002,real_world_archetype_matrix,L1,emotional_pressure,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",real_world_archetype_matrix__C002_L1_emotional_pressure
claude-opus-4-6,C003,baseline,L1,emotional_pressure,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",baseline__C003_L1_emotional_pressure
claude-opus-4-6,C003,baseline,L1,material_color,can_pass,3,2,"('can_pass', 'uncertain', 'uncertain')",baseline__C003_L1_material_color
claude-opus-4-6,C003,constraint_boundary_solver,L1,emotional_pressure,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C003_L1_emotional_pressure
claude-opus-4-6,C003,constraint_boundary_solver,L1,lighting,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C003_L1_lighting
claude-opus-4-6,C003,halton_space_filling,L1,ambient_noise,cannot_pass,3,2,"('cannot_pass', 'uncertain', 'uncertain')",halton_space_filling__C003_L1_ambient_noise
claude-opus-4-6,C003,real_world_archetype_matrix,L1,ambient_noise,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",real_world_archetype_matrix__C003_L1_ambient_noise
claude-opus-4-6,C004,baseline,L1,emotional_pressure,can_pass,3,2,"('can_pass', 'can_pass', 'uncertain')",baseline__C004_L1_emotional_pressure
claude-opus-4-6,C004,baseline,L1,material_color,can_pass,3,2,"('can_pass', 'uncertain', 'uncertain')",baseline__C004_L1_material_color
claude-opus-4-6,C004,constraint_boundary_solver,L1,material_color,cannot_pass,3,2,"('cannot_pass', 'cannot_pass', 'uncertain')",constraint_boundary_solver__C004_L1_material_color
claude-opus-4-6,C004,dimensionless_ratio_design,L3,ambient_noise,can_pass,3,2,"('can_pass', 'cannot_pass', 'cannot_pass')",dimensionless_ratio_design__C004_L3_ambient_noise
