model,transition_type,path,groups,l1_accuracy,l2_accuracy,l3_accuracy,share_within_model
gemini-3-flash-preview,mathematical_improvement,uncertain->cannot_pass->can_pass,1,0.0,0.0,1.0,0.002564102564102564
gpt-4o,mathematical_improvement,uncertain->cannot_pass->cannot_pass,222,0.0,1.0,1.0,0.3915343915343915
gpt-4o,mixed_instability,uncertain->cannot_pass->cannot_pass,179,0.0,0.0,0.0,0.31569664902998235
gpt-4o,mathematical_improvement,uncertain->cannot_pass->can_pass,87,0.0,0.0,1.0,0.15343915343915343
gpt-4o,mathematical_collapse,can_pass->cannot_pass->cannot_pass,22,1.0,0.0,0.0,0.03880070546737213
gpt-4o,stable_or_recovered_correct,cannot_pass->cannot_pass->cannot_pass,14,1.0,1.0,1.0,0.024691358024691357
gpt-4o,mixed_instability,uncertain->cannot_pass->can_pass,12,0.0,1.0,0.0,0.021164021164021163
gpt-4o,stable_or_recovered_correct,can_pass->cannot_pass->can_pass,12,1.0,0.0,1.0,0.021164021164021163
gpt-4o,mixed_instability,uncertain->cannot_pass->uncertain,10,0.0,0.7,0.0,0.01763668430335097
gpt-4o,mathematical_improvement,uncertain->can_pass->can_pass,3,0.0,1.0,1.0,0.005291005291005291
gpt-4o,mathematical_collapse,can_pass->uncertain->cannot_pass,1,1.0,0.0,0.0,0.001763668430335097
gpt-4o,mathematical_collapse,cannot_pass->cannot_pass->can_pass,1,1.0,1.0,0.0,0.001763668430335097
gpt-4o,mathematical_collapse,cannot_pass->cannot_pass->uncertain,1,1.0,1.0,0.0,0.001763668430335097
gpt-4o,mixed_instability,uncertain->can_pass->cannot_pass,1,0.0,1.0,0.0,0.001763668430335097
gpt-4o,mixed_instability,uncertain->uncertain->cannot_pass,1,0.0,0.0,0.0,0.001763668430335097
gpt-4o,stable_wrong_or_uncertain,cannot_pass->cannot_pass->cannot_pass,1,0.0,0.0,0.0,0.001763668430335097
gpt-4o-mini,stable_or_recovered_correct,cannot_pass->cannot_pass->cannot_pass,223,1.0,1.0,1.0,0.4505050505050505
gpt-4o-mini,mathematical_collapse,can_pass->cannot_pass->cannot_pass,97,1.0,0.0,0.0,0.19595959595959597
gpt-4o-mini,mixed_instability,uncertain->cannot_pass->cannot_pass,66,0.0,0.0,0.0,0.13333333333333333
gpt-4o-mini,stable_wrong_or_uncertain,cannot_pass->cannot_pass->cannot_pass,62,0.0,0.0,0.0,0.12525252525252525
gpt-4o-mini,mathematical_improvement,uncertain->cannot_pass->cannot_pass,9,0.0,1.0,1.0,0.01818181818181818
gpt-4o-mini,stable_or_recovered_correct,can_pass->cannot_pass->can_pass,8,1.0,0.0,1.0,0.01616161616161616
gpt-4o-mini,mathematical_improvement,cannot_pass->cannot_pass->can_pass,6,0.0,0.0,1.0,0.012121212121212121
gpt-4o-mini,mixed_instability,cannot_pass->can_pass->cannot_pass,5,0.0,1.0,0.0,0.010101010101010102
gpt-4o-mini,mathematical_collapse,can_pass->can_pass->cannot_pass,4,1.0,1.0,0.0,0.00808080808080808
gpt-4o-mini,mathematical_collapse,cannot_pass->cannot_pass->can_pass,3,1.0,1.0,0.0,0.006060606060606061
gpt-4o-mini,mathematical_improvement,uncertain->cannot_pass->can_pass,3,0.0,0.0,1.0,0.006060606060606061
gpt-4o-mini,mixed_instability,uncertain->can_pass->cannot_pass,3,0.0,1.0,0.0,0.006060606060606061
gpt-4o-mini,mathematical_collapse,can_pass->uncertain->cannot_pass,2,1.0,0.0,0.0,0.00404040404040404
gpt-4o-mini,mixed_instability,cannot_pass->uncertain->cannot_pass,1,0.0,0.0,0.0,0.00202020202020202
gpt-4o-mini,mixed_instability,uncertain->cannot_pass->can_pass,1,0.0,1.0,0.0,0.00202020202020202
gpt-4o-mini,stable_or_recovered_correct,can_pass->can_pass->can_pass,1,1.0,1.0,1.0,0.00202020202020202
gpt-4o-mini,stable_or_recovered_correct,cannot_pass->can_pass->cannot_pass,1,1.0,0.0,1.0,0.00202020202020202
gpt-5.5,stable_or_recovered_correct,cannot_pass->cannot_pass->cannot_pass,114,1.0,1.0,1.0,0.304
gpt-5.5,stable_wrong_or_uncertain,uncertain->uncertain->uncertain,37,0.0,0.0,0.0,0.09866666666666667
gpt-5.5,mathematical_collapse,can_pass->uncertain->uncertain,35,1.0,0.0,0.0,0.09333333333333334
gpt-5.5,mathematical_collapse,can_pass->uncertain->cannot_pass,34,1.0,0.0,0.0,0.09066666666666667
gpt-5.5,mathematical_collapse,can_pass->cannot_pass->cannot_pass,26,1.0,0.0,0.0,0.06933333333333333
gpt-5.5,mathematical_collapse,cannot_pass->cannot_pass->uncertain,21,1.0,1.0,0.0,0.056
gpt-5.5,mixed_instability,uncertain->cannot_pass->cannot_pass,20,0.0,0.0,0.0,0.05333333333333334
gpt-5.5,mixed_instability,uncertain->cannot_pass->uncertain,19,0.0,0.15789473684210525,0.0,0.050666666666666665
gpt-5.5,mixed_instability,uncertain->uncertain->cannot_pass,16,0.0,0.0,0.0,0.042666666666666665
gpt-5.5,stable_or_recovered_correct,cannot_pass->uncertain->cannot_pass,13,1.0,0.0,1.0,0.034666666666666665
gpt-5.5,mathematical_improvement,uncertain->cannot_pass->cannot_pass,11,0.0,1.0,1.0,0.029333333333333333
gpt-5.5,mathematical_collapse,can_pass->cannot_pass->uncertain,10,1.0,0.0,0.0,0.02666666666666667
gpt-5.5,mathematical_collapse,cannot_pass->uncertain->uncertain,9,1.0,0.0,0.0,0.024
gpt-5.5,mathematical_improvement,uncertain->uncertain->cannot_pass,9,0.0,0.0,1.0,0.024
gpt-5.5,stable_or_recovered_correct,can_pass->cannot_pass->can_pass,1,1.0,0.0,1.0,0.0026666666666666666
grok-4,stable_or_recovered_correct,cannot_pass->cannot_pass->cannot_pass,78,1.0,1.0,1.0,0.254071661237785
grok-4,stable_or_recovered_correct,can_pass->cannot_pass->can_pass,39,1.0,0.0,1.0,0.1270358306188925
grok-4,mathematical_collapse,can_pass->cannot_pass->cannot_pass,34,1.0,0.0,0.0,0.11074918566775244
grok-4,mathematical_collapse,cannot_pass->cannot_pass->can_pass,28,1.0,1.0,0.0,0.09120521172638436
grok-4,mathematical_improvement,uncertain->cannot_pass->can_pass,22,0.0,0.0,1.0,0.07166123778501629
grok-4,mathematical_improvement,uncertain->cannot_pass->cannot_pass,22,0.0,1.0,1.0,0.07166123778501629
grok-4,mixed_instability,uncertain->cannot_pass->uncertain,16,0.0,0.625,0.0,0.05211726384364821
grok-4,mathematical_improvement,cannot_pass->cannot_pass->can_pass,12,0.0,0.0,1.0,0.03908794788273615
grok-4,mathematical_collapse,can_pass->cannot_pass->uncertain,11,1.0,0.0,0.0,0.035830618892508145
grok-4,mathematical_collapse,cannot_pass->cannot_pass->uncertain,10,1.0,1.0,0.0,0.03257328990228013
grok-4,stable_wrong_or_uncertain,cannot_pass->cannot_pass->cannot_pass,9,0.0,0.0,0.0,0.029315960912052116
grok-4,mixed_instability,uncertain->cannot_pass->cannot_pass,8,0.0,0.0,0.0,0.026058631921824105
grok-4,stable_wrong_or_uncertain,uncertain->uncertain->uncertain,5,0.0,0.0,0.0,0.016286644951140065
grok-4,mathematical_collapse,cannot_pass->uncertain->uncertain,3,1.0,0.0,0.0,0.009771986970684038
grok-4,stable_or_recovered_correct,cannot_pass->uncertain->cannot_pass,3,1.0,0.0,1.0,0.009771986970684038
grok-4,mathematical_collapse,can_pass->can_pass->cannot_pass,1,1.0,1.0,0.0,0.003257328990228013
grok-4,mathematical_collapse,can_pass->uncertain->cannot_pass,1,1.0,0.0,0.0,0.003257328990228013
grok-4,mathematical_collapse,can_pass->uncertain->uncertain,1,1.0,0.0,0.0,0.003257328990228013
grok-4,mathematical_improvement,can_pass->cannot_pass->cannot_pass,1,0.0,1.0,1.0,0.003257328990228013
grok-4,mathematical_improvement,uncertain->uncertain->cannot_pass,1,0.0,0.0,1.0,0.003257328990228013
grok-4,mixed_instability,uncertain->cannot_pass->can_pass,1,0.0,1.0,0.0,0.003257328990228013
grok-4,mixed_instability,uncertain->uncertain->cannot_pass,1,0.0,0.0,0.0,0.003257328990228013
